Designator,Mid X,Mid Y,Rotation,Layer
C11,187.2,-125.6,0,B
C13,187.15,-127.5,0,B
C17,193.15,-120.45,0,B
C19,187.7,-120.4,180,B
C21,197.25,-124.45,0,B
C22,187.7,-122.5,180,B
C31,194.3,-128.55,0,B
C34,195.05,-125.45,0,B
C35,187.1,-130.45,0,B
C36,193.3,-122.5,0,B
C38,193.2,-119.4,0,B
C39,190.25,-127.6,0,B
C41,191.25,-130.45,0,B
C42,190.25,-124.5,0,B
C43,197.4,-130.5,0,B
C44,193.05,-127.5,0,B
J7,183.975,-79.125,90,B
R68,188.5,-88.1,0,B
A1,254.99,-65.1952,-90,T
C1,204.964552,-134.1,-90,T
C2,183.25,-98.1,180,T
C3,195.4,-98.1,180,T
C4,189.4,-98.01,180,T
C5,180.2,-105.3,90,T
C6,192.5,-105.3,90,T
C7,186.6,-105.21,90,T
C8,216.31,-119.31,0,T
C9,188.1,-108.46,0,T
C10,181.05,-130.1,180,T
C12,202.25,-124.85,0,T
C14,193.2,-108.45,0,T
C15,188.1,-110.91,0,T
C16,185.95,-135.9,-90,T
C18,216.31,-121.52,0,T
C20,181.05,-132.2,180,T
C23,227.7,-119.34,180,T
C24,227.7,-122.565,180,T
C25,227.7,-115.4,180,T
C26,183.95,-111.1,180,T
C27,227.7,-111.39,180,T
C28,216.31,-114.355,0,T
C29,216.31,-110.34,0,T
C30,227.7,-126.05,180,T
C32,227.7,-131.21,180,T
C33,216.31,-130.2,0,T
C37,216.31,-126.1,0,T
C40,216.31,-134.29,0,T
C45,200.3,-66.7,180,T
C46,198.6,-94.1,90,T
C47,206.4,-94.2,-90,T
C48,198.9,-75.9,0,T
C49,200.9,-79.6,-90,T
C50,206.3,-80.7,-90,T
C51,188.175,-83.2,0,T
C52,196.4,-87.9,0,T
C53,208.5,-87.9,180,T
C54,207.9,-80.7,-90,T
C55,204.964552,-124.6,-90,T
C56,216.31,-138.105,0,T
C57,227.7,-139.11,180,T
C58,227.7,-135.33,180,T
C59,202.3,-117.1,-90,T
C60,207.5,-115.2,-90,T
C61,202.3,-115.2,-90,T
D1,197.6,-151.2,90,T
D2,178.15,-73.2225,90,T
D3,210.05,-85.85,180,T
D4,200.7,-151.2,90,T
D5,204,-151.2,90,T
J1,198,-61.525,180,T
J2,189.7625,-195,0,T
J3,210.290833,-195,0,T
J4,230.819166,-195,0,T
J5,251.3475,-195,0,T
J6,201.5,-176.8,90,T
L1,183.2,-105.3,180,T
L2,195.3,-105.3,180,T
L3,189.45,-105.21,180,T
R1,194.95,-137.15,-90,T
R2,194.95,-135.15,90,T
R3,191.55,-135.15,-90,T
R4,203.4,-106.3,0,T
R5,212.31,-105.1,180,T
R6,212.3,-107.6,180,T
R7,178.15,-70.51,-90,T
R8,180.8,-102.4,90,T
R9,180.8,-100.4,90,T
R10,193,-102.4,90,T
R11,193,-100.4,90,T
R12,187.05,-102.31,90,T
R13,187.05,-100.31,90,T
R14,186.7,-75.9,180,T
R15,186.7,-77.6,180,T
R16,203.1,-80.675,-90,T
R17,204.7,-80.7,-90,T
R18,208,-94.2,-90,T
R19,204.75,-94.2,90,T
R20,210.05,-84.15,180,T
R21,211.5,-109.65,0,T
R22,200.4875,-105.1,0,T
R23,190.1,-139.7,-90,T
R24,192.4,-139.7,-90,T
R25,185.8,-139.7,-90,T
R26,187.94,-139.7,-90,T
R27,200.4875,-103,0,T
R28,211.5,-111.8,0,T
R29,204.8,-137.775,-90,T
R30,202.4,-137.7875,-90,T
R31,199.9,-137.7875,-90,T
R32,204.8,-141.4875,-90,T
R33,202.4,-141.4875,-90,T
R34,199.9,-141.5,-90,T
R35,216.31,-118.3,180,T
R36,216.31,-122.59,180,T
R37,227.7,-118.29,0,T
R38,227.7,-121.565,0,T
R39,227.7,-114.4,0,T
R40,227.7,-110.36,0,T
R41,216.31,-115.425,180,T
R42,216.31,-111.39,180,T
R43,227.7,-127.17,0,T
R44,227.7,-130.21,0,T
R45,216.31,-131.2,180,T
R46,216.31,-127.1,180,T
R47,216.31,-135.3,180,T
R48,216.31,-139.095,180,T
R49,227.7,-138.11,0,T
R50,227.7,-134.28,0,T
R51,190.7,-185.3,-90,T
R52,191.8,-185.3,-90,T
R53,192.95,-185.3,-90,T
R54,194.1,-185.29,-90,T
R55,195.2,-185.29,-90,T
R56,196.3,-185.29,-90,T
R57,197.4,-185.29,-90,T
R58,204.3,-119.6,180,T
R59,204.29,-121.6,180,T
R60,204.3,-122.6,180,T
R61,204.3,-120.6,180,T
R62,203.9,-129.2,180,T
R63,203.91,-131.2,180,T
R64,203.9,-132.2,180,T
R65,203.9,-130.2,180,T
R66,200.7,-148.4,90,T
R67,204,-148.5,90,T
SW1,188.9,-72.7,180,T
U1,191.75,-125.5,0,T
U2,207.85,-105.7,180,T
U3,242.02,-115.987,-90,T
U4,222.264552,-112.6,0,T
U5,208.489552,-121.7,90,T
U6,222.264552,-120.8,0,T
U7,183.2,-101.2625,90,T
U8,195.375,-101.2625,90,T
U9,189.4,-101.1725,90,T
U10,193.75,-77.825,0,T
U11,202.56,-86.87,0,T
U12,222.264552,-129,0,T
U13,208.489552,-131.2625,90,T
U14,222.264552,-137.2,0,T
U15,240.41,-97,0,T
U16,204.9,-115.7,0,T
X1,179,-124.25,-90,T
Y1,201.6,-93.95,180,T
